"","x"
"832",43.24
"833",43.28
"834",43.32
"835",43.36
"836",43.4
"837",43.44
"838",43.48
"839",43.52
"840",43.56
"841",43.6
"842",43.64
"843",43.68
"844",43.72
"845",43.76
"846",43.8
"847",43.84
"848",43.88
"849",43.92
"850",43.96
"851",44
"852",44.04
"853",44.08
"854",44.12
"855",44.16
"856",44.2
"857",44.24
"858",44.28
"859",44.32
"860",44.36
"861",44.4
"862",44.44
"863",44.48
"864",44.52
"865",44.56
"866",44.6
"867",44.64
"868",44.68
"869",44.72
"870",44.76
"871",44.8
"872",44.84
"873",44.88
"874",44.92
"875",44.96
"876",45
"877",45.04
"878",45.08
"879",45.12
"880",45.16
"881",45.2
"882",45.24
"883",45.28
"884",45.32
"885",45.36
"886",45.4
"887",45.44
"888",45.48
"889",45.52
"890",45.56
"891",45.6
"892",45.64
"893",45.68
"894",45.72
"895",45.76
"896",45.8
"897",45.84
"898",45.88
"899",45.92
"900",45.96
"901",46
"902",46.04
"903",46.08
"904",46.12
"905",46.16
"906",46.2
"907",46.24
"908",46.28
"909",46.32
"910",46.36
"911",46.4
"912",46.44
"913",46.48
"914",46.52
"915",46.56
"916",46.6
"917",46.64
"918",46.68
"919",46.72
"920",46.76
"921",46.8
"922",46.84
"923",46.88
"924",46.92
"925",46.96
"926",47
"927",47.04
"928",47.08
"929",47.12
"930",47.16
"931",47.2
"932",47.24
"933",47.28
"934",47.32
"935",47.36
"936",47.4
"937",47.44
"938",47.48
"939",47.52
"940",47.56
"941",47.6
"942",47.64
"943",47.68
"944",47.72
"945",47.76
"946",47.8
"947",47.84
"948",47.88
"949",47.92
"950",47.96
"951",48
"952",48.04
"953",48.08
"954",48.12
"955",48.16
"956",48.2
"957",48.24
"958",48.28
"959",48.32
"960",48.36
"961",48.4
"962",48.44
"963",48.48
"964",48.52
"965",48.56
"966",48.6
"967",48.64
"968",48.68
"969",48.72
"970",48.76
"971",48.8
"972",48.84
"973",48.88
"974",48.92
"975",48.96
"976",49
"977",49.04
"978",49.08
"979",49.12
"980",49.16
"981",49.2
"982",49.24
"983",49.28
"984",49.32
"985",49.36
"986",49.4
"987",49.44
"988",49.48
"989",49.52
"990",49.56
"991",49.6
"992",49.64
"993",49.68
"994",49.72
"995",49.76
"996",49.8
"997",49.84
"998",49.88
"999",49.92
"1000",49.96
"1001",50
"1002",50.06
"1003",50.12
"1004",50.18
"1005",50.24
"1006",50.3
"1007",50.36
"1008",50.42
"1009",50.48
"1010",50.54
"1011",50.6
"1012",50.66
"1013",50.72
"1014",50.78
"1015",50.84
"1016",50.9
"1017",50.96
"1018",51.02
"1019",51.08
"1020",51.14
"1021",51.2
"1022",51.26
"1023",51.32
"1024",51.38
"1025",51.44
"1026",51.5
"1027",51.56
"1028",51.62
"1029",51.68
"1030",51.74
"1031",51.8
"1032",51.86
"1033",51.92
"1034",51.98
"1035",52.04
"1036",52.1
"1037",52.16
"1038",52.22
"1039",52.28
"1040",52.34
"1041",52.4
"1042",52.46
"1043",52.52
"1044",52.58
"1045",52.64
"1046",52.7
"1047",52.76
"1048",52.82
"1049",52.88
"1050",52.94
"1051",53
"1052",53.06
"1053",53.12
"1054",53.18
"1055",53.24
"1056",53.3
"1057",53.36
"1058",53.42
"1059",53.48
"1060",53.54
"1061",53.6
"1062",53.66
"1063",53.72
"1064",53.78
"1065",53.84
"1066",53.9
"1067",53.96
"1068",54.02
"1069",54.08
"1070",54.14
"1071",54.2
"1072",54.26
"1073",54.32
"1074",54.38
"1075",54.44
"1076",54.5
"1077",54.56
"1078",54.62
"1079",54.68
"1080",54.74
"1081",54.8
"1082",54.86
"1083",54.92
"1084",54.98
"1085",55.04
"1086",55.1
"1087",55.16
"1088",55.22
"1089",55.28
"1090",55.34
"1091",55.4
"1092",55.46
"1093",55.52
"1094",55.58
"1095",55.64
"1096",55.7
"1097",55.76
"1098",55.82
"1099",55.88
"1100",55.94
"1101",56
"1102",56.06
"1103",56.12
"1104",56.18
"1105",56.24
"1106",56.3
"1107",56.36
"1108",56.42
"1109",56.48
"1110",56.54
"1111",56.6
"1112",56.66
"1113",56.72
"1114",56.78
"1115",56.84
"1116",56.9
"1117",56.96
"1118",57.02
"1119",57.08
"1120",57.14
"1121",57.2
"1122",57.26
"1123",57.32
"1124",57.38
"1125",57.44
"1126",57.5
"1127",57.56
"1128",57.62
"1129",57.68
"1130",57.74
"1131",57.8
"1132",57.86
"1133",57.92
"1134",57.98
"1135",58.04
"1136",58.1
"1137",58.16
"1138",58.22
"1139",58.28
"1140",58.34
"1141",58.4
"1142",58.46
"1143",58.52
"1144",58.58
"1145",58.64
"1146",58.7
"1147",58.76
"1148",58.82
"1149",58.88
"1150",58.94
"1151",59
"1152",59.06
"1153",59.12
"1154",59.18
"1155",59.24
"1156",59.3
"1157",59.36
"1158",59.42
"1159",59.48
"1160",59.54
"1161",59.6
"1162",59.66
"1163",59.72
"1164",59.78
"1165",59.84
"1166",59.9
"1167",59.96
"1168",60.02
"1169",60.08
"1170",60.14
"1171",60.2
"1172",60.26
"1173",60.32
"1174",60.38
"1175",60.44
"1176",60.5
"1177",60.56
"1178",60.62
"1179",60.68
"1180",60.74
"1181",60.8
"1182",60.86
"1183",60.92
"1184",60.98
"1185",61.04
"1186",61.1
"1187",61.16
"1188",61.22
"1189",61.28
"1190",61.34
"1191",61.4
"1192",61.46
"1193",61.52
"1194",61.58
"1195",61.64
"1196",61.7
"1197",61.76
"1198",61.82
"1199",61.88
"1200",61.94
"1201",62
"1202",62.06
"1203",62.12
"1204",62.18
"1205",62.24
"1206",62.3
"1207",62.36
"1208",62.42
"1209",62.48
"1210",62.54
"1211",62.6
"1212",62.66
"1213",62.72
"1214",62.78
"1215",62.84
"1216",62.9
"1217",62.96
"1218",63.02
"1219",63.08
"1220",63.14
"1221",63.2
"1222",63.26
"1223",63.32
"1224",63.38
"1225",63.44
"1226",63.5
"1227",63.56
"1228",63.62
"1229",63.68
"1230",63.74
"1231",63.8
"1232",63.86
"1233",63.92
"1234",63.98
"1235",64.04
"1236",64.1
"1237",64.16
"1238",64.22
"1239",64.28
"1240",64.34
"1241",64.4
"1242",64.46
"1243",64.52
"1244",64.58
"1245",64.64
"1246",64.7
"1247",64.76
"1248",64.82
"1249",64.88
"1250",64.94
"1251",65
"1252",65.06
"1253",65.12
"1254",65.18
"1255",65.24
"1256",65.3
"1257",65.36
"1258",65.42
"1259",65.48
"1260",65.54
"1261",65.6
"1262",65.66
"1263",65.72
"1264",65.78
"1265",65.84
"1266",65.9
"1267",65.96
"1268",66.02
"1269",66.08
"1270",66.14
"1271",66.2
"1272",66.26
"1273",66.32
"1274",66.38
"1275",66.44
"1276",66.5
"1277",66.56
"1278",66.62
"1279",66.68
"1280",66.74
"1281",66.8
"1282",66.86
"1283",66.92
"1284",66.98
"1285",67.04
"1286",67.1
"1287",67.16
"1288",67.22
"1289",67.28
"1290",67.34
"1291",67.4
"1292",67.46
"1293",67.52
"1294",67.58
"1295",67.64
"1296",67.7
"1297",67.76
"1298",67.82
"1299",67.88
"1300",67.94
"1301",68
"1302",68.06
"1303",68.12
"1304",68.18
"1305",68.24
"1306",68.3
"1307",68.36
"1308",68.42
"1309",68.48
"1310",68.54
"1311",68.6
"1312",68.66
"1313",68.72
"1314",68.78
"1315",68.84
"1316",68.9
"1317",68.96
"1318",69.02
"1319",69.08
"1320",69.14
"1321",69.2
"1322",69.26
"1323",69.32
"1324",69.38
"1325",69.44
"1326",69.5
"1327",69.56
"1328",69.62
"1329",69.68
"1330",69.74
"1331",69.8
"1332",69.86
"1333",69.92
"1334",69.98
"1335",70.04
"1336",70.1
"1337",70.16
"1338",70.22
"1339",70.28
"1340",70.34
"1341",70.4
"1342",70.46
"1343",70.52
"1344",70.58
"1345",70.64
"1346",70.7
"1347",70.76
"1348",70.82
"1349",70.88
"1350",70.94
"1351",71
"1352",71.06
"1353",71.12
"1354",71.18
"1355",71.24
"1356",71.3
"1357",71.36
"1358",71.42
"1359",71.48
"1360",71.54
"1361",71.6
"1362",71.66
"1363",71.72
"1364",71.78
"1365",71.84
"1366",71.9
"1367",71.96
"1368",72.02
"1369",72.08
"1370",72.14
"1371",72.2
"1372",72.26
"1373",72.32
"1374",72.38
"1375",72.44
"1376",72.5
"1377",72.56
"1378",72.62
"1379",72.68
"1380",72.74
"1381",72.8
"1382",72.86
"1383",72.92
"1384",72.98
"1385",73.04
"1386",73.1
"1387",73.16
"1388",73.22
"1389",73.28
"1390",73.34
"1391",73.4
"1392",73.46
"1393",73.52
"1394",73.58
"1395",73.64
"1396",73.7
"1397",73.76
"1398",73.82
"1399",73.88
"1400",73.94
"1401",74
"1402",74.06
"1403",74.12
"1404",74.18
"1405",74.24
"1406",74.3
"1407",74.36
"1408",74.42
"1409",74.48
"1410",74.54
"1411",74.6
"1412",74.66
"1413",74.72
"1414",74.78
"1415",74.84
"1416",74.9
"1417",74.96
"1418",75.02
"1419",75.08
"1420",75.14
"1421",75.2
"1422",75.26
"1423",75.32
"1424",75.38
"1425",75.44
"1426",75.5
"1427",75.56
"1428",75.62
"1429",75.68
"1430",75.74
"1431",75.8
"1432",75.86
"1433",75.92
"1434",75.98
"1435",76.04
"1436",76.1
"1437",76.16
"1438",76.22
"1439",76.28
"1440",76.34
"1441",76.4
"1442",76.46
"1443",76.52
"1444",76.58
"1445",76.64
"1446",76.7
"1447",76.76
"1448",76.82
"1449",76.88
"1450",76.94
"1451",77
"1452",77.06
"1453",77.12
"1454",77.18
"1455",77.24
"1456",77.3
"1457",77.36
"1458",77.42
"1459",77.48
"1460",77.54
"1461",77.6
"1462",77.66
"1463",77.72
"1464",77.78
"1465",77.84
"1466",77.9
"1467",77.96
"1468",78.02
"1469",78.08
"1470",78.14
"1471",78.2
"1472",78.26
"1473",78.32
"1474",78.38
"1475",78.44
"1476",78.5
"1477",78.56
"1478",78.62
"1479",78.68
"1480",78.74
"1481",78.8
"1482",78.86
"1483",78.92
"1484",78.98
"1485",79.04
"1486",79.1
"1487",79.16
"1488",79.22
"1489",79.28
"1490",79.34
"1491",79.4
"1492",79.46
"1493",79.52
"1494",79.58
"1495",79.64
"1496",79.7
"1497",79.76
"1498",79.82
"1499",79.88
"1500",79.94
"1501",80
"1502",80.02
"1503",80.04
"1504",80.06
"1505",80.08
"1506",80.1
"1507",80.12
"1508",80.14
"1509",80.16
"1510",80.18
"1511",80.2
"1512",80.22
"1513",80.24
"1514",80.26
"1515",80.28
"1516",80.3
"1517",80.32
"1518",80.34
"1519",80.36
"1520",80.38
"1521",80.4
"1522",80.42
"1523",80.44
"1524",80.46
"1525",80.48
"1526",80.5
"1527",80.52
"1528",80.54
"1529",80.56
"1530",80.58
"1531",80.6
"1532",80.62
"1533",80.64
"1534",80.66
"1535",80.68
"1536",80.7
"1537",80.72
"1538",80.74
"1539",80.76
"1540",80.78
"1541",80.8
"1542",80.82
"1543",80.84
"1544",80.86
"1545",80.88
"1546",80.9
"1547",80.92
"1548",80.94
"1549",80.96
"1550",80.98
"1551",81
"1552",81.02
"1553",81.04
"1554",81.06
"1555",81.08
"1556",81.1
"1557",81.12
"1558",81.14
"1559",81.16
"1560",81.18
"1561",81.2
"1562",81.22
"1563",81.24
"1564",81.26
"1565",81.28
"1566",81.3
"1567",81.32
"1568",81.34
"1569",81.36
"1570",81.38
"1571",81.4
"1572",81.42
"1573",81.44
"1574",81.46
"1575",81.48
"1576",81.5
"1577",81.52
"1578",81.54
"1579",81.56
"1580",81.58
"1581",81.6
"1582",81.62
"1583",81.64
"1584",81.66
"1585",81.68
"1586",81.7
"1587",81.72
"1588",81.74
"1589",81.76
"1590",81.78
"1591",81.8
"1592",81.82
"1593",81.84
"1594",81.86
"1595",81.88
"1596",81.9
"1597",81.92
"1598",81.94
"1599",81.96
"1600",81.98
"1601",82
"1602",82.02
"1603",82.04
"1604",82.06
"1605",82.08
"1606",82.1
"1607",82.12
"1608",82.14
"1609",82.16
"1610",82.18
"1611",82.2
"1612",82.22
"1613",82.24
"1614",82.26
"1615",82.28
"1616",82.3
"1617",82.32
"1618",82.34
"1619",82.36
"1620",82.38
"1621",82.4
"1622",82.42
"1623",82.44
"1624",82.46
"1625",82.48
"1626",82.5
"1627",82.52
"1628",82.54
"1629",82.56
"1630",82.58
"1631",82.6
"1632",82.62
"1633",82.64
"1634",82.66
"1635",82.68
"1636",82.7
"1637",82.72
"1638",82.74
"1639",82.76
"1640",82.78
"1641",82.8
"1642",82.82
"1643",82.84
"1644",82.86
"1645",82.88
"1646",82.9
"1647",82.92
"1648",82.94
"1649",82.96
"1650",82.98
"1651",83
"1652",83.02
"1653",83.04
"1654",83.06
"1655",83.08
"1656",83.1
"1657",83.12
"1658",83.14
"1659",83.16
"1660",83.18
"1661",83.2
"1662",83.22
"1663",83.24
"1664",83.26
"1665",83.28
"1666",83.3
"1667",83.32
"1668",83.34
"1669",83.36
"1670",83.38
"1671",83.4
"1672",83.42
"1673",83.44
"1674",83.46
"1675",83.48
"1676",83.5
"1677",83.52
"1678",83.54
"1679",83.56
"1680",83.58
"1681",83.6
"1682",83.62
"1683",83.64
"1684",83.66
"1685",83.68
"1686",83.7
"1687",83.72
"1688",83.74
"1689",83.76
"1690",83.78
"1691",83.8
"1692",83.82
"1693",83.84
"1694",83.86
"1695",83.88
"1696",83.9
"1697",83.92
"1698",83.94
"1699",83.96
"1700",83.98
"1701",84
"1702",84.02
"1703",84.04
"1704",84.06
"1705",84.08
"1706",84.1
"1707",84.12
"1708",84.14
"1709",84.16
"1710",84.18
"1711",84.2
"1712",84.22
"1713",84.24
"1714",84.26
"1715",84.28
"1716",84.3
"1717",84.32
"1718",84.34
"1719",84.36
"1720",84.38
"1721",84.4
"1722",84.42
"1723",84.44
"1724",84.46
"1725",84.48
"1726",84.5
"1727",84.52
"1728",84.54
"1729",84.56
"1730",84.58
"1731",84.6
"1732",84.62
"1733",84.64
"1734",84.66
"1735",84.68
"1736",84.7
"1737",84.72
"1738",84.74
"1739",84.76
"1740",84.78
"1741",84.8
"1742",84.82
"1743",84.84
"1744",84.86
"1745",84.88
"1746",84.9
"1747",84.92
"1748",84.94
"1749",84.96
"1750",84.98
"1751",85
"1752",85.02
"1753",85.04
"1754",85.06
"1755",85.08
"1756",85.1
"1757",85.12
"1758",85.14
"1759",85.16
"1760",85.18
"1761",85.2
"1762",85.22
"1763",85.24
"1764",85.26
"1765",85.28
"1766",85.3
"1767",85.32
"1768",85.34
"1769",85.36
"1770",85.38
"1771",85.4
"1772",85.42
"1773",85.44
"1774",85.46
"1775",85.48
"1776",85.5
"1777",85.52
"1778",85.54
"1779",85.56
"1780",85.58
"1781",85.6
"1782",85.62
"1783",85.64
"1784",85.66
"1785",85.68
"1786",85.7
"1787",85.72
"1788",85.74
"1789",85.76
"1790",85.78
"1791",85.8
"1792",85.82
"1793",85.84
"1794",85.86
"1795",85.88
"1796",85.9
"1797",85.92
"1798",85.94
"1799",85.96
"1800",85.98
"1801",86
"1802",86.02
"1803",86.04
"1804",86.06
"1805",86.08
"1806",86.1
"1807",86.12
"1808",86.14
"1809",86.16
"1810",86.18
"1811",86.2
"1812",86.22
"1813",86.24
"1814",86.26
"1815",86.28
"1816",86.3
"1817",86.32
"1818",86.34
"1819",86.36
"1820",86.38
"1821",86.4
"1822",86.42
"1823",86.44
"1824",86.46
"1825",86.48
"1826",86.5
"1827",86.52
"1828",86.54
"1829",86.56
"1830",86.58
"1831",86.6
"1832",86.62
"1833",86.64
"1834",86.66
"1835",86.68
"1836",86.7
"1837",86.72
"1838",86.74
"1839",86.76
"1840",86.78
"1841",86.8
"1842",86.82
"1843",86.84
"1844",86.86
"1845",86.88
"1846",86.9
"1847",86.92
"1848",86.94
"1849",86.96
"1850",86.98
"1851",87
"1852",87.02
"1853",87.04
"1854",87.06
"1855",87.08
"1856",87.1
"1857",87.12
"1858",87.14
"1859",87.16
"1860",87.18
"1861",87.2
"1862",87.22
"1863",87.24
"1864",87.26
"1865",87.28
"1866",87.3
"1867",87.32
"1868",87.34
"1869",87.36
"1870",87.38
"1871",87.4
"1872",87.42
"1873",87.44
"1874",87.46
"1875",87.48
"1876",87.5
"1877",87.52
"1878",87.54
"1879",87.56
"1880",87.58
"1881",87.6
"1882",87.62
"1883",87.64
"1884",87.66
